City_ID,City,Country,Date,Lat,Lon,Max Temp,HUmidity,Cloudiness,Wind Speed
149,Gold Coast,AU,2021-04-21 15:02:29,-28.0,153.4333,64.99,72,0,9.22
150,Abu Samrah,SY,2021-04-21 15:03:08,35.3029,37.1841,75.02,20,48,14.32
151,Yulara,AU,2021-04-21 15:03:09,-25.2406,130.9889,60.8,36,0,6.91
152,Chuy,UY,2021-04-21 15:03:09,-33.6971,-53.4616,72.93,59,11,16.73
153,Saint-Augustin,CA,2021-04-21 15:03:10,51.226,-58.6502,36.77,95,100,8.37
154,Padang,ID,2021-04-21 15:01:10,-0.9492,100.3543,77.0,94,75,8.05
155,Loa Janan,ID,2021-04-21 15:03:10,-0.583,117.095,74.84,90,43,2.66
156,Najran,SA,2021-04-21 15:03:11,17.4924,44.1277,89.6,17,0,8.05
157,Victoria,HK,2021-04-21 15:00:05,22.2855,114.1577,75.99,71,0,9.31
158,Wembley,AU,2021-04-21 15:03:11,-31.9333,115.8,63.0,67,0,3.44
159,Mbandaka,CD,2021-04-21 15:03:12,0.0487,18.2603,80.42,73,95,2.15
160,Kumano,JP,2021-04-21 15:03:12,34.3442,132.5894,59.0,67,40,4.61
161,Svetlyy,RU,2021-04-21 14:59:13,54.675,20.1347,57.2,41,0,11.18
162,Prince Rupert,CA,2021-04-21 15:03:13,54.3161,-130.3201,46.4,93,1,2.3
163,Alofi,NU,2021-04-21 15:03:13,-19.0595,-169.9187,77.0,94,69,3.44
164,Puerto Escondido,MX,2021-04-21 15:03:14,15.85,-97.0667,78.8,94,40,6.91
165,Harper,LR,2021-04-21 15:03:14,4.375,-7.7169,85.91,69,99,8.48
166,Fukue,JP,2021-04-21 15:03:15,32.6881,128.8419,64.15,60,76,1.21
167,Nova Floresta,BR,2021-04-21 15:03:15,-6.4553,-36.2033,82.17,53,82,4.27
168,Concepcion Del Uruguay,AR,2021-04-21 15:03:15,-32.4825,-58.2372,75.99,63,0,5.01
169,Bonavista,CA,2021-04-21 15:03:16,48.6499,-53.1147,42.8,75,91,5.75
170,Nedjo,ET,2021-04-21 15:03:16,9.5046,35.5019,78.84,30,47,5.06
171,Camacha,PT,2021-04-21 15:03:17,33.0833,-16.3333,68.0,68,20,11.5
172,Baghdad,IQ,2021-04-21 15:03:07,33.3406,44.4009,102.2,17,0,11.5
173,Poum,NC,2021-04-21 15:03:17,-20.2333,164.0167,77.54,80,12,5.19
174,Pisco,PE,2021-04-21 15:03:18,-13.7,-76.2167,69.8,78,5,5.75
175,Kavaratti,IN,2021-04-21 15:03:18,10.5669,72.642,84.56,70,69,8.88
176,Tongliao,CN,2021-04-21 15:03:19,43.6125,122.2653,62.82,24,100,16.67
177,Tevaitoa,PF,2021-04-21 15:03:19,-16.7833,-151.5,82.08,71,38,13.78
178,Tautira,PF,2021-04-21 15:03:19,-17.7333,-149.15,73.4,88,20,3.44
179,Ribeira Grande,PT,2021-04-21 15:03:20,38.5167,-28.7,62.6,94,75,19.57
180,Khatanga,RU,2021-04-21 15:03:20,71.9667,102.5,7.99,93,100,10.6
181,Porto Novo,BJ,2021-04-21 14:58:58,6.4965,2.6036,89.6,70,20,12.66
182,Chumikan,RU,2021-04-21 15:03:21,54.7183,135.315,26.47,88,92,5.82
