City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
235,Scicli,IT,36.7902,14.7014,62.6,67,75,4.61,broken clouds
236,Manokwari,ID,-0.8667,134.0833,78.19,81,100,3.83,overcast clouds
237,Tottori,JP,35.5,134.2333,55.11,87,98,1.99,overcast clouds
238,Klaksvik,FO,62.2266,-6.589,50.0,62,98,3.44,overcast clouds
239,Port Elizabeth,ZA,-33.918,25.5701,57.2,100,0,8.05,clear sky
240,Tapes,BR,-30.6733,-51.3958,77.2,52,49,3.76,scattered clouds
241,Khudumelapye,BW,-23.8833,24.75,68.67,23,0,4.92,clear sky
242,Chhatak,BD,25.0333,91.6667,77.95,37,55,4.14,broken clouds
243,Prado,BR,-17.3411,-39.2208,80.06,71,54,6.06,broken clouds
244,Nambucca Heads,AU,-30.65,153.0,53.6,87,52,5.41,broken clouds
245,Biak,ID,-0.9131,122.8766,77.29,76,75,5.79,broken clouds
246,Tabas,IR,33.5959,56.9244,84.22,12,95,8.3,overcast clouds
247,Billings,US,45.7833,-108.5007,48.0,61,75,8.05,broken clouds
248,Matagami,CA,49.7502,-77.6328,30.2,80,90,12.66,overcast clouds
249,Gornyye Klyuchi,RU,45.25,133.5,32.05,66,0,4.03,clear sky
250,Bay City,US,43.5945,-83.8889,60.8,44,90,6.91,overcast clouds
251,Constitucion,CL,-35.3333,-72.4167,65.5,55,0,15.37,clear sky
252,Lewisburg,US,35.4492,-86.7889,64.0,82,90,9.22,overcast clouds
253,Kenai,US,60.5544,-151.2583,39.2,81,1,3.91,clear sky
254,College,US,64.8569,-147.8028,46.99,56,20,0.96,few clouds
255,Vardo,NO,70.3705,31.1107,33.33,91,100,22.7,light snow
256,La Orilla,MX,17.9833,-102.2333,85.93,48,89,10.54,overcast clouds
257,Galle,LK,6.0367,80.217,80.47,81,85,2.71,overcast clouds
258,Boralday,KZ,43.3578,76.8594,44.6,42,75,3.62,smoke
259,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,33.8,100,90,4.47,overcast clouds
260,Sucre,BO,-19.0333,-65.2627,64.89,44,48,12.88,scattered clouds
261,Jardim,BR,-21.4803,-56.1381,94.8,23,93,7.29,overcast clouds
262,Sur,OM,22.5667,59.5289,87.75,38,0,10.2,clear sky
263,Sharlyk,RU,52.9167,54.75,43.23,96,100,5.08,overcast clouds
264,Fallon,US,39.4735,-118.7774,62.6,20,75,12.66,broken clouds
265,Trenggalek,ID,-8.05,111.7167,73.62,89,42,0.47,scattered clouds
266,Yablochnyy,RU,47.1661,142.0661,32.0,86,40,8.95,light snow
267,Male,MV,4.1748,73.5089,84.2,79,20,9.22,few clouds
268,Lagoa,PT,39.05,-27.9833,58.91,82,60,27.78,broken clouds
269,Pisco,PE,-13.7,-76.2167,70.0,83,0,9.22,clear sky
270,Khani,GE,41.9563,42.9566,55.4,82,0,4.61,clear sky
271,Moundou,TD,8.5667,16.0833,88.25,39,80,8.79,light rain
272,Port Hardy,CA,50.6996,-127.4199,46.4,93,90,3.44,light rain
273,Vao,NC,-22.6667,167.4833,76.03,67,100,11.48,light rain
274,Hays,US,30.0502,-98.0336,82.0,36,0,7.0,clear sky
275,Lewistown,US,40.5992,-77.5714,63.0,40,87,4.0,overcast clouds
276,Alyangula,AU,-13.8483,136.4192,69.8,100,99,8.48,overcast clouds
277,Kahului,US,20.8947,-156.47,71.6,94,40,16.11,light rain
278,Fairbanks,US,64.8378,-147.7164,46.99,52,1,6.91,clear sky
279,Maceio,BR,-9.6658,-35.7353,87.8,58,20,10.36,few clouds
280,Cherskiy,RU,68.75,161.3,21.24,96,100,9.69,overcast clouds
281,Cam Ranh,VN,11.9214,109.1591,80.6,78,20,2.3,few clouds
282,Jacareacanga,BR,-6.2222,-57.7528,92.3,45,71,2.26,broken clouds
283,Tiznit,MA,29.5833,-9.5,63.16,58,34,10.69,scattered clouds
284,Mongoumba,CF,3.6415,18.5936,77.56,66,68,3.42,broken clouds
285,Necochea,AR,-38.5473,-58.7368,64.0,64,4,11.99,clear sky
286,Ixtapa,MX,20.7,-105.2,80.6,65,75,5.75,broken clouds
287,Sao Joao Da Barra,BR,-21.6403,-41.0511,86.0,51,20,10.47,few clouds
288,Kodiak,US,57.79,-152.4072,41.0,87,90,5.75,overcast clouds
289,Koutsouras,GR,35.0339,25.9469,63.7,76,97,9.78,overcast clouds
290,Gat,IL,31.61,34.7642,70.0,100,5,1.95,clear sky
291,Aksu,CN,41.1231,80.2644,57.34,29,33,4.79,scattered clouds
292,Broken Hill,AU,-31.95,141.4333,51.8,66,0,6.91,clear sky
293,Takestan,IR,36.0696,49.6959,68.0,42,75,6.91,broken clouds
294,Richards Bay,ZA,-28.783,32.0377,69.17,85,70,11.97,light rain
295,Carballo,ES,43.213,-8.691,64.4,82,20,4.61,few clouds
296,Asau,RO,46.4333,26.4,48.0,44,75,2.3,broken clouds
297,Gamboma,CG,-1.8764,15.8644,71.83,91,100,2.53,overcast clouds
298,Ahuimanu,US,21.4447,-157.8378,75.2,68,20,11.5,few clouds
299,Ust-Ilimsk,RU,58.0006,102.6619,32.63,99,100,0.94,snow
300,Kpandu,GH,6.9954,0.2931,73.53,89,100,23.44,heavy intensity rain
301,Ulladulla,AU,-35.35,150.4667,53.6,71,75,6.91,broken clouds
302,Antsla,EE,57.8256,26.5406,37.4,81,75,13.8,broken clouds
303,Tempio Pausania,IT,40.8974,9.1035,62.6,55,0,5.75,clear sky
304,Neyshabur,IR,36.2133,58.7958,69.03,32,94,6.76,overcast clouds
305,Udachnyy,RU,66.4167,112.4,19.69,96,100,4.16,overcast clouds
306,Dzilam Gonzalez,MX,21.2833,-88.9333,93.78,36,100,9.95,overcast clouds
307,Loandjili,CG,-4.7561,11.8578,82.4,78,20,6.91,few clouds
308,Rongcheng,CN,30.634,117.8517,60.03,94,100,5.44,light rain
309,Rio Grande,BR,-32.035,-52.0986,77.0,57,20,8.05,light rain
310,Bereda,ES,43.2686,-7.5406,64.99,74,97,11.01,overcast clouds
311,Zakopane,PL,49.299,19.9489,44.6,45,20,12.66,few clouds
312,Kusa,RU,55.3383,59.4406,40.12,88,99,8.63,overcast clouds
313,Santa Cruz Del Sur,CU,20.7147,-77.9956,86.86,48,4,14.23,clear sky
314,Kotelnikovo,RU,47.6317,43.1461,48.2,76,46,9.89,scattered clouds
315,Ransang,PH,8.9603,117.5828,78.26,83,81,2.21,broken clouds
316,Mahibadhoo,MV,3.7833,72.9667,83.71,73,43,7.87,scattered clouds
317,Poum,NC,-20.2333,164.0167,78.28,81,97,14.2,overcast clouds
318,Kodinsk,RU,58.6881,99.1844,33.35,99,100,2.06,snow
319,Bambanglipuro,ID,-7.95,110.2833,75.52,82,9,3.36,clear sky
320,Chapais,CA,49.7834,-74.8492,46.4,36,1,9.22,clear sky
321,Saint Anthony,US,45.0205,-93.218,41.0,70,90,12.66,overcast clouds
322,Opaka,BG,43.45,26.1667,55.4,62,100,4.61,overcast clouds
323,Zhangye,CN,38.9342,100.4517,51.28,30,98,3.8,overcast clouds
324,Ucluelet,CA,48.9329,-125.5528,48.0,93,90,4.61,overcast clouds
325,Big Bend,SZ,-26.8167,31.9333,64.9,64,51,1.52,broken clouds
326,Maarianhamina,AX,60.0973,19.9348,35.6,75,75,12.66,broken clouds
